NCT Number,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures;;;;;;;;;;;;
"NCT01234649,""Insulin Secretion-Sensitivity Index (IS-SI), IS-SI in liraglutide-metformin (LIRA-MET) therapy compared to metformin alone (PLacebo-MET), 84 weeks of treatment"",""Fasting Blood Glucose (FBG), Fasting glucose levels in LIRA-MET group compared with PL-MET group, 84 weeks of treatment|Mean Glucose During OGTT (MBG), MBG derived from average glucose measured during OGTT in LIRA-MET group compared with PL-MET group, 84 weeks of treatment|Homeostasis Model Assessment of Insulin Resistance (HOMA-IR), HOMA-IR, a measure of insulin resistance derived from fasting values, in LIRA-MET group compared with PL-MET group, 84 weeks of treatment|Matsuda Insulin Sensitivity Index Derived From OGTT, OGTT- derived insulin sensitivity index in LIRA-MET group compared with PL-MET group, 84 weeks of treatment|Insulinogenic Index (IGI) /HOMA-IR, IGI/HOMA-IR, a measure of early insulin response corrected by fasting insulin resistance, in LIRA-MET group compared with PL-MET group, 84 weeks of treatment|Absolute Body Weight, Body weight in LIRA-MET group compared with PL-MET group, 84 weeks of treatment|Change in Body Weight From Baseline to End of Study (Expressed as % Compared to Baseline), Change in body weight from baseline to end o f study in LIRA-MET group compared with PL-MET group. The number was derived from final weight minus baseline and normalized to a percent., Change from baseline (time 0) to study end (84 weeks)|Body Mass Index (BMI), BMI, a measure of total body adiposity, in LIRA-MET group compared with PL-MET group, 84 weeks of treatment|Waist Circumference (WC), Waist size (measure of truncal adiposity) with LIRA-MET compared to PL-MET, 84 weeks of treatment|Waist-to-Hip Ratio (WHR), Waist circumference divided by hip circumference (a measure of central adiposity) in LIRA-MET group compared with PL-MET group, 84 weeks of treatment|Waist to Height Ratio (WHtR), Waist circumference divided by height (measure of body fat distribution) in LIRA-MET group compared with PL-MET group, 84 weeks of treatment|Total Cholesterol (CHOL) Levels, CHOL levels in LIRA-MET group compared with PL-MET group, 84 weeks of treatment|High Density Lipoprotein Cholesterol (HDL-C) Levels, HDL-C levels in LIRA-MET group compared with PL-MET group, 84 weeks of treatment|Low Density Lipoprotein Cholesterol (LDL-C) Levels, LDL-Cholesterol levels in LIRA-MET group compared with PL-MET group, 84 weeks of treatment|Triglyceride (TRG) Levels, TRG concentrations in LIRA-MET group compared with PL-MET group, 84 weeks of treatment|Triglyceride to High Density Lipoprotein Cholesterol Ratio TRG/HDL-C), TRG/HDL-Cholesterol levels in LIRA-MET group compared with PL-MET group, 84 weeks of treatment|Systolic Blood Pressure, SBP in LIRA-MET group compared with PL-MET group, 84 weeks of treatment|Diastolic Blood Pressure, DBP in LIRA-MET group compared with PL-MET group, 84 weeks of treatment|Alanine Aminotransferase (ALT) Levels, Hepatic enzyme, ALT, associated with insulin resistance, in LIRA-MET group compared with PL-MET group, 84 weeks of treatment|Aspartate Aminotransferase (AST), The hepatic marker, AST, associated with insulin resistance in LIRA-MET group compared with PL-MET group, 84 weeks of treatment|Alanine Aminotransferase /Aspartate Aminotransferase (ALT/AST) Ratio, ALT/AST ratio, used to assess liver function in LIRA-MET group compared with PL-MET group, 84 weeks of treatment"",";;;;;;;;;;;;
"NCT03687827,""Percentage of Time Spent in Glycaemic Target Range 70-180 mg/dL (3.9-10.0 mmol/L) Both Inclusive, Using Flash Glucose Monitoring (FGM), The percentage of time spent in glycaemic target range was calculated as the number of recorded measurements in glycaemic target range (70-180 milligrams per deciliter \[mg/dL\] (3.9-10.0 millimoles per litre \[mmol/L\]), both inclusive) divided by the total number of recorded measurements. The endpoint is based on data recorded by FGM system. It was required that at least 70% of the planned FGM measurements during weeks 16-17 and weeks 34-35 were available for endpoint data to be included in the analysis., During the 2-week maintenance period: weeks 16-17 (period-1) and weeks 34-35 (period-2)"",""Time Spent in Tight Glycaemic Target Range 70-140 mg/dL (3.9-7.8 mmol/L) Both Inclusive, Using Flash Glucose Monitoring, The percentage of time spent in tight glycaemic target range 70-140 mg/dL (3.9-7.8 mmol/L) both inclusive, during the 2-week maintenance periods using FGM (visit 9-21 (week 16-17) and visit 37-39 (week 34-35))., During the 2-week maintenance period: weeks 16-17 (period-1) and weeks 34-35 (period-2).|Time Spent in Nocturnal Glycaemic Target Range 70-140 mg/dL (3.9-7.8 mmol/L) Both Inclusive, in the Nocturnal Period (00:01 am - 05:59 am Both Inclusive) Using Flash Glucose Monitoring, Percentage of time spent in nocturnal glycaemic target range 70-140 mg/dL (3.9-7.8 mmol/L) both inclusive, in the nocturnal period (00:01 am - 05:59 am both inclusive) during the 2-week maintenance periods using FGM (visit 19-21 (week 16-17) and visit 37-39 (week 34-35))., During the 2-week maintenance period: weeks 16-17 (period-1) and weeks 34-35 (period-2).|Level of Glycated Haemoglobin (HbA1c) - Percentage, Level of HbA1c after two weeks of maintenance periods (Visit 19-21 (week 16-17) and Visit 37-39 (week 34-35))., After the 2-week maintenance period: weeks 16-17 (period-1) and weeks 34-35 (period-2).|Level of Glycated Haemoglobin (HbA1c) - mmol/Mol, Level of HbA1c after two weeks of maintenance periods (Visit 19-21 (week 16-17) and Visit 37-39 (week 34-35))., After the 2-week maintenance period: weeks 16-17 (period-1) and weeks 34-35 (period-2).|Mean Glucose Levels Using Flash Glucose Monitoring (FGM), Mean glucose levels (mmol/L) during the 2-week maintenance periods using FGM (visit 19-21 (week 16-17) and visit 37-39 (week 34-35))., During the 2-week maintenance period: weeks 16-17 (period-1) and weeks 34-35 (period-2)."",";;;;;;;;;;;;
"NCT01413204,""Change in Hemoglobin A1c (A1C) From Baseline (NGSP Value), baseline and 24 weeks"",""Change in Fasting Plasma Glucose, Week 24|Change in Body Weight, Week 24|Change in Blood Pressure, Week 24|Change in Postprandial Plasma Glucose, Insulin and Urinary Glucose Excretion After a 75 g Oral Glucose Tolerance Test, Week 24|Safety and Tolerability Assessed by Adverse Events, Hypoglycemic Events, Laboratory Tests, 12-lead ECG and Vital Signs, Week 24"",";;;;;;;;;;;;
"NCT02048904,""Change in Microalbuminuria Level, Decrease in microalbuminuria level, Six months"",,";;;;;;;;;;;;
"NCT01462227,""Glucose (mg/dL), Glucose was measured in the blood throughout the hyperinsulinemic-hypoglycemic clamp study., End of study (up to 240 minutes)|Glucose Infusion Rate (mg/kg.Min), The glucose infusion rate corresponds to the amount of 20% dextrose given during the hyperinsulinemic-hypoglycemic clamp study, necessary to keep blood glucose levels at the target range (50-55 mg/dL)., End of study (up to 240 minutes)"",""Glucagon (pg/mL), Glucagon was measured in the blood throughout the hyperinsulinemic-hypoglycemic clamp study., End of study (up to 240 minutes)|Cortisol (ug/dL), Cortisol was measured in the blood throughout the hyperinsulinemic-hypoglycemic clamp study., End of study (up to 240 minutes)|Epinephrine (pg/mL), Epinephrine was measured in the blood throughout the hyperinsulinemic-hypoglycemic clamp study., End of study (up to 240 minutes)|Norepinephrine (pg/mL), Norepinephrine was measured in the blood throughout the hyperinsulinemic-hypoglycemic clamp study., End of study (up to 240 minutes)"",";;;;;;;;;;;;
"NCT03345004,""Change in Stimulated C-peptide During a MMTT, Change in C-peptide between Baseline and 15 Months. C-peptide was measured by Area Under the Curve \[AUC\] at 0-120 min during a Mixed Meal Tolerance Test (MMTT) and divided by 120 min. The results are given as the ratio (back-transformed from log-scale) between 15 Months and Baseline as predicted by the MMRM (Mixed Model Repeated Measures) model., Baseline and 15 months"",""Change in IDAA1c, Change in insulin-dose-adjusted HbA1c (IDAA1c), Baseline and 15 months|Change in HbA1c, Change in HbA1c (mmol/mol), Baseline and 15 months|Change in Insulin Consumption, Change in daily exogenous insulin consumption (IU), Baseline and 15 months|Change in Glycemic Variability/Fluctuations, Change in glycemic variability/fluctuations (evaluated from data from continuous glucose monitoring FreeStyle LibrePro, FGM) over 14 day period., Screening and 15 months|Percentage of Patients With IDAA1c ≤ 9, Percentage of patients with IDAA1c ≤ 9, 15 months|Stimulated Maximum C-peptide Above 0.2 Nmol/L, Percentage of patients with a stimulated maximum C-peptide level above 0.2 nmol/L (0.6 ng/ml), 15 months|Stimulated C-peptide Above 0.2 Nmol/L at 90 Min, Percentage of patients with a stimulated 90min C-peptide level above 0.2 nmol/L (0.6 ng/ml), 15 months|Number of Hypoglycemias, Number of self-reported episodes of severe hypoglycemia (Severe hypoglycemia defined as needing help from others and/or seizures and/or unconscious) (counts), Baseline and 15 months|Number of Patients Having at Least 1 Severe Hypoglycemic Event, Number of patients having at least 1 severe hypoglycemic event (counts), Baseline and 15 months|Change in Maximum C-peptide, Change in maximum C-peptide during MMTT (nmol/L), Baseline and 15 months|Change in Fasting C-peptide, Change in Fasting C-peptide (nmol/L), Baseline and 15 months|C-peptide Levels During a MMTT, C-peptide measured at 30, 60, 90, and 120 minutes during MMTT (nmol/L) at 15 months, 15 months|Change in Body Weight, Change in body weight (kg), Baseline and 15 months|Injection Site Reactions, Injection site reactions, 15 months|Number of Clinically Significant Abnormal Results From Laboratory Measurements (Haematology and Clinical Chemistry) and Urinalysis., Number of clinically significant abnormal results from laboratory measurements (haematology and clinical chemistry) and urinalysis. (counts), 15 months|Number of Clinically Significant Abnormal Results From Physical and Neurological Examinations, Physical examination (general appearance including skin, mouth, throat, cardiovascular, abdomen, lymphatic glands, and neurological/musculoskeletal \[including reflexes\]).";;;;;;;;;;;;
;;;;;;;;;;;;
Standardised clinical neurological examination including extremity reflexes, Romberg, Walk on a line, 2 meters, Standing on 1 leg, left and right, 15 seconds per leg, Finger-nose, Mimic, Babinski reflex.;;;;;;;;;;;;
;;;;;;;;;;;;
"The outcome of the assessments was recored as """"normal"""" or """"abnormal"""", 15 months|GAD65A Titer, GAD65A titer (IU/ml), Baseline and 15 months|Number of Clinically Significant Abnormal Results in Vital Signs, Vital signs (blood pressure) (mmHg), 15 months|Change in Quality of Life (QoL), Change in QoL as measured by the standardised measure of health questionnaire EQ-5D-5L between baseline and Month 15. The EQ-5D-5L is based on 5 questions rated at 5 levels indicating from no problem (level 1) to extreme problems (level 5) regarding current state of mobility, self-care, activity, pain and anxiety. The outcome is presented as a weighted index value, where 1 is the best possible health and 0 represents being dead., Baseline and 15 months|Change in Body Mass Index (BMI), Change in BMI (kg/m2), Baseline and 15 months"",";;;;;;;;;;;;
"NCT01196104,""Change in HbA1c (%) From Baseline to Week 16, Change from Baseline in glycated hemoglobin at Week 16, Baseline to Week 16"",""To Evaluate the Effect of Each Treatment on HbA1c, Not analyzed due to early termination of the trial., Change from baseline to 16 weeks|Comparison of Fasting Plasma Glucose (FPG) Levels at Randomization and Throughout the Study, Not analyzed due to early termination of the trial., Change from baseline to 16 weeks|Comparison of Post-prandial Glucose (PPG) Levels at Randomization and Throughout the Study, Not analyzed due to early termination of the trial., Change from baseline to 16 weeks|Glycomark and Fructosamine Levels Measured Throughout the Study, Not analyzed due to early termination of the trial., Change from baseline to 16 weeks|Seven-point Glucose at Randomization and Throughout the Study, Not analyzed due to early termination of the trial., Change from baseline to 16 weeks|Glycemic Excursions and Variability as Assessed Through Continuous Glucose Monitoring (CGM), Not analyzed due to early termination of the trial., Change from baseline to 16 weeks|Changes in Body Weight at 16 Weeks, Not analyzed due to early termination of the trial., Change from baseline to 16 weeks|Treatment Satisfaction as Assessed by Subject Treatment and Health Outcomes Questionnaires, Not analyzed due to early termination of the trial., Change from baseline to 16 weeks|Total Number of Cough Episodes, Total number of times patients coughed once, intermittently or continuously (inclusive), Baseline to Week 16|Severe Hypoglycemic Event Rate, Severe hypoglycemic event rate, ie, total number of events divided by subject-months of observation";;;;;;;;;;;;
;;;;;;;;;;;;
Severe hypoglycemia is defined as a subject who requires the assistance of another individual (not merely requested) and either:;;;;;;;;;;;;
;;;;;;;;;;;;
* SMBG levels ≤ 36 mg/dL OR;;;;;;;;;;;;
* There is a prompt response to the administration of carbohydrate, glucagon, or other resuscitative measures, Baseline to Week 16|Mild or Moderate Hypoglycemic Event Rate, Mild or moderate hypoglycemic event rate, ie, total number of events divided by subject-months of observation;;;;;;;;;;;;
;;;;;;;;;;;;
Nonsevere hypoglycemia is defined as a subject:;;;;;;;;;;;;
;;;;;;;;;;;;
* SMBG levels \< 70 mg/dL AND/OR;;;;;;;;;;;;
"* Symptoms that are relieved by the self-administration of carbohydrates, Baseline to Week 16|Number of Subjects Reporting Cough Episodes, Number of Subjects Reporting Cough Episodes, Baseline to Week 16|Number of Subjects Reporting Intermittent Coughing Episodes, Number of subjects reporting Intermittent Coughing Episodes, Baseline to Week 16|Number of Single Coughing Episodes, Total number of times patients coughed only once, Baseline to Week 16|Number of Cough Episodes Occuring Within 10 Minutes of Drug Inhalation, Baseline to Week 16|Baseline Forced Expiratory Volume in 1 Second (FEV1), Baseline FEV1, Baseline|Week 16 Forced Expiratory Volume in 1 Second, Week 16 FEV1, Week 16|Week 16 Change From Baseline in Forced Expiratory Volume in 1 Second, Week 16 Change from Baseline in FEV1, Baseline to Week 16|Week 20 (Follow-up) Forced Expiratory Volume in 1 Second, Week 20 (Follow-up) FEV1, 4 weeks after discontinuation of study treatment, Week 20 (Follow-up)|Week 20 (Follow-up) Change From Baseline in Forced Expiratory Volume in 1 Second, Week 20 (Follow-up, 4 weeks after discontinuation of study treatment) Change from Baseline in FEV1, Baseline to Week 20|Baseline Forced Vital Capacity (FVC), Baseline FVC, Baseline|Week 16 Forced Vital Capacity, Week 16 FVC, Week 16|Week 16 Change From Baseline Forced Vital Capacity, Week 16 Change from Baseline FVC, Baseline to Week 16|Week 20 (Follow-up) Forced Vital Capacity, Week 20 (Follow-up, 4 weeks after discontinuation of study treatment) FVC, Week 20|Week 20 (Follow-up) Change From Baseline in Forced Vital Capacity, Week 20 (Follow-up, 4 weeks after discontinuation of study treatment) Change from Baseline in FVC, Baseline to Week 20"",";;;;;;;;;;;;
"NCT01710527,""Mean Maximal Measured Plasma Concentration (Cmax) After a Single Dose, Plasma samples for pharmacokinetic (PK) analysis were drawn at indicated time points of each treatment period. Cmax was defined as maximal measured plasma concentration over the time span specified., Pre- dose (0.0 hour), post-dose at 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0, 5.0, 6.0, 8.0, 10.0, 12.0, 16.0, 24.0 and 36.0 hour in each period.|Area Under the Plasma Concentration-time Curve From Time Zero to the Last Measurable Concentration (AUC0-t) and Area Under the Plasma Concentration-time Curve From Time Zero to Infinity (AUC0-infinity), Plasma samples for PK analysis were drawn at indicated time points of each treatment period.";;;;;;;;;;;;
;;;;;;;;;;;;
"AUC0-t was calculated by the linear trapezoidal rule from measured data points from time of administration until the time of last quantifiable concentration. AUC0- infinity was estimated by linear trapezoidal rule and was sum of the AUC0-t and extrapolated to infinity by dividing the estimated last measurable plasma concentration by elimination rate constant. The AUC0- infinity was the sum of the estimated and extrapolated parts., Pre- dose (0.0 hour), post-dose at 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0, 5.0, 6.0, 8.0, 10.0, 12.0, 16.0, 24.0 and 36.0 hour in each period.|Time of the Maximum Plasma Concentration (T-max) Over Period, Plasma samples for PK analysis were drawn at indicated time points of each treatment period. If the maximum value occurs at more than one point T-max was defined as the first time point with this value., Pre- dose (0.0 hour), post-dose at 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0, 5.0, 6.0, 8.0, 10.0, 12.0, 16.0, 24.0 and 36.0 hour in each period.|Terminal Half-life (T-half) Over Period, Plasma samples for PK analysis were drawn at indicated time points of each treatment period. The elimination or terminal half-life was calculated by dividing 0.693 (natural logarithm of 2) with elimination rate constant obtained as semi logarithmic plot of the plasma concentration versus time., Pre- dose (0.0 hour), post-dose at 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0, 5.0, 6.0, 8.0, 10.0, 12.0, 16.0, 24.0 and 36.0 hour in each period.|Percentage of Area Under Curve Extrapolated to Arrive at AUC0-infinity (AUC%_Extrapolated), Plasma samples for PK analysis were drawn at indicated time points of each treatment period. AUC%_Extrapolated was obtained by subtracting AUC0-t from AUC0-infinity divided by AUC0-infinity and multiplied by 100., Pre- dose (0.0 hour), post-dose at 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0, 5.0, 6.0, 8.0, 10.0, 12.0, 16.0, 24.0 and 36.0 hour in each period.|Apparent First-order Elimination or Terminal Rate Constant, Plasma samples for PK analysis were drawn at indicated time points of each treatment period. The apparent first-order elimination or terminal rate constant was calculated from a semi logarithmic plot of the plasma concentration versus time. The parameter was calculated by linear least-square regression analysis using the last three (or more) non-zero plasma concentrations., Pre- dose (0.0 hour), post-dose at 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0, 5.0, 6.0, 8.0, 10.0, 12.0, 16.0, 24.0 and 36.0 hour in each period."",""Number of Participants With Any Adverse Event (AE) or Serious Adverse Event (SAE), An AE is defined as any untoward medical occurrence in a participant, temporally associated with the use of a medicinal product, whether or not considered related to the medicinal product. An SAE is defined as any untoward medical occurrence that, at any dose, results in death, is life-threatening, requires hospitalization or prolongation of existing hospitalization, results in disability/incapacity, or is a congenital anomaly/birth defect, may jeopardize the participant or may require medical or surgical intervention to prevent one of the other outcomes listed in this definition, associated with liver injury and impaired liver function defined as alanine aminotransferase \>=3 x upper limit of normal (ULN), and total bilirubin \>=2 x ULN or international normalized ratio \>1.5., Up to 38 days|Number of Participants With Abnormal Vital Sign Results, Vital signs measurements (blood pressure, respiratory rate, pulse rate and oral temperature) were conducted during screening and during post study safety assessments. Vital signs measurement were also performed at each check-in and at checkout and were also recorded before dosing of study drug, between 2-3, 9-10 and 36.0 hour post-dose. Measurements were recorded in sitting position after rest of at least 5 min., Up to 38 days|Number of Participants With Abnormal Periodic Physical Examination Results, Brief physical examination was performed at each check-in, check-out and complete physical examination during screening and at the end of the clinical part of the study., Up to 38 days|Assessment of Subject Well-being Questionnaire, Subject well-being questionnaire was planned to be conducted at 1.0 and 5.0 hour post-dose. During vital sign recording each participants was planned to be asked about his well-being recorded during post study safety assessments. The data for this outcome measure was not collected during the study. Thus the results summary for this outcome measure was not produced., Up to 38 days"",";;;;;;;;;;;;
"NCT00788827,""Number of Participants Who Experienced Adverse Events, Safety will be evaluated in terms of adverse events graded according to CTCTAE toxicity criteria and laboratory test results. All adverse events will also be graded for relationship to treatment and as expected and unexpected., 14 days"",""Hba1C Data of Pre and Post Stem Cell Infusion, Mean HbA1c laboratory measurements pre and post stem cell infusion, 12 weeks|Insulin Level, Mean insulin requirement was calculated for each participant pre and post stem cell infusion, 12 weeks|Amylase Level, Each participant had mean amylase data analysed to give a pre and post mean result, 12 weeks|Serum Creatinine, Each participant had serum creatinine analysis pre and post stem cell infusion to give mean result, 12 weeks"",";;;;;;;;;;;;
"NCT01809327,""Change in Glycated Hemoglobin (HbA1c) From Baseline at Week 26, The change in the value of glycated hemoglobin (the concentration of glucose bound to hemoglobin as a percent of the absolute maximum that can be bound) from baseline at Week 26 was compared between the different treatment groups., Day 1 (Baseline) and Week 26"",""Percent Change in Body Weight From Baseline to Week 26, The percentage change in body weight from baseline to Week 26 was compared between the different treatment groups., Day 1 (Baseline) and Week 26|Percentage of Participants With Glycated Hemoglobin (HbAIc) Less Than 7 Percent at Week 26, The percentage of participants achieved HbAIc less than 7 percent at Week 26 was compared between the different treatment groups., Week 26|Change in Systolic Blood Pressure From Baseline at Week 26, The change in systolic blood pressure from baseline at Week 26 was compared between the different treatment groups., Day 1 (Baseline) and Week 26|Percent Change in Fasting High-Density Lipoprotein Cholesterol (HDL-C) From Baseline to Week 26, The percentage change in Fasting High-Density Lipoprotein Cholesterol (HDL-C) from baseline to Week 26 was compared between the different treatment groups., Day 1 (Baseline) and Week 26|Percent Change in Triglycerides From Baseline to Week 26, The percentage change in triglycerides from baseline to Week 26 was compared between the different treatment groups., Day 1 (Baseline) and Week 26|Number of Participants With Treatment Emergent Adverse Events (AEs), An adverse event (AE) was any untoward medical occurrence in a participant who received study drug without regard to possibility of causal relationship. A serious adverse event (SAE) was an AE resulting in any of the following outcomes or deemed significant for any other reason: death"; initial or prolonged inpatient hospitalization; life-threatening experience (immediate risk of dying); persistent or significant disability/incapacity;" congenital anomaly. Treatment-emergent were events between administration of study drug and up to 30 days after last dose of study drug that were absent before treatment or that worsened relative to pre-treatment state., Up to 30 weeks of last study drug administration"",";;;;;;;;
"NCT00592904,""Mean Change From Baseline in Short Form-McGill Pain Questionnaire (SF-MPQ): Sensory and Affective Scores, From Baseline to Week 48., Mean change from baseline to open-label study endpoint and other study visits in SF-MPQ scores sensory and affective). SF-MPQ was completed to assess intensity of pain over the past 48 days for all 15 descriptors: throbbing, shooting, stabbing, sharp, cramping, gnawing, hot-burning, aching, heavy, tender, splitting,tiring-exhausting, sickening, fear-causing, punishing-cruel. Each descriptor was scored by participant on a 4-point intensity scale (0=none to 3=severe) and totaled in each subclass (sensory range 0-45)"; higher scores indicated higher intensity of pain., Baseline and Week 48|Mean Change From Baseline in SF-MPQ Visual Analog Scale (VAS): From Baseline to Week 48., SF-MPQ VAS consists of a line 0 to 100 millimeters (mm) in length;" range is 0 (no pain) to 100 mm (worst possible pain). Subjects placed a mark indicating the intensity of their pain. Distance from left-hand end of line was measured and entered on Case Report Form (CRF) as score in mm. Higher score indicates greater level of pain., Baseline and Week 48|Mean Change From Baseline in SF-MPQ Current Pain Intensity (CPI): From Baseline to Week 48, Mean change from baseline in SF-MPQ (CPI) at study endpoint. Affective score ranges from 0-5. Higher scores indicate more severe pain (0=no pain, 1=mild, 2=discomforting, 3=distressing, 4=horrible, 5=excrutiating)., Baseline and Week 48"",""Analysis of Patient Global Impression of Change (PGIC) at Week 48/End of Treatment (EOT), The PGIC asked subjects to evaluate the change in their overall status compared with the start of open-label treatment on a scale ranging from 1 (very much improved) to 7 (very much worse). \[Please note high withdrawl rate during study\]., Baseline and Week 48|Mean Change From Baseline in Short Form 36 Item (SF-36) Health Survey: Physical and Mental Component Scores From Baseline to Week 48/EOT, Mean change from baseline in SF-36 Item Health Survey Scores at study endpoint. Each component on the SF-36 Item Health Survey is scored from 0-100 with higher scores reflecting better subject status., Baseline and Week 48"",";;;;;;;;;;
"NCT00672204,""The Proportion of Insulin-independent Subjects With Full Islet Graft Function, Islet transplant recipients will be considered insulin-independent with full islet graft function if they are able to titrate off insulin therapy for at least 1 week and all of the following criteria are met:";;;;;;;;;;;;
;;;;;;;;;;;;
* HbA1c \< 7.0% or a ≥2.5% decrease from baseline;;;;;;;;;;;;
* fasting capillary glucose level should not exceed 140 mg/dL (7.8 mmol/L) more than three times in the past week (based on measuring capillary glucose levels a minimum of 7 times in a seven day period);;;;;;;;;;;;
* 2-hour post-prandial capillary glucose should not exceed 180 mg/dl (10.0 mmol/L) more than three times in the past week (based on measuring capillary glucose levels a minimum of 21 times in a seven day period);;;;;;;;;;;;
* fasting serum glucose level ≤126 mg/dL (7.0 mmol/L); if the fasting serum glucose level is \>126 mg/dL (7.0 mmol/L), it must be confirmed in an additional one out of two measurements;;;;;;;;;;;
"* evidence of endogenous insulin production defined as fasting or stimulated C-peptide levels ≥0.5 ng/mL (0.16 nmol/L)., 1 year following the first islet transplant"",,";;;;;;;;;;;;
"NCT01143727,""Wound Appearance, Weekly wound appearance as assessed by BWAT-m scores. BWAT-m scores used to determine primary efficacy consist of 8 subscales, each grade an aspect of wound status on a 1-5 scale"; 1=normal intact skin;" 5=least desirable. Total score=8-40. Subscales: Edges, Undermining, Necrotic Tissue Type, Necrotic Tissue Amount, Exudate Type, Exudate Amount, Skin Color Surrounding Wound, and Granulation Tissue., 28 days"",""Percent Change in Wound Area, 28 days"",";;;;;;;;;;
"NCT02660827,""Age 2-13 Years Old Subjects Change in A1C, Descriptive analysis of change in A1C from baseline to end of 3-month study period, Baseline and end of 3-month study period"",""Age 2-13 Years Old Subjects Mean Change in % of Time in Euglycemia (70-180 mg/dL), mean change in % of time in Euglycemia (70-180 mg/dL) from baseline to 3 months study period, baseline and 3 months|Age 2-13 Years Old Subjects Mean Change in % of Time in Hyperglycemia (> 180 mg/dL), mean change in % of time in hyperglycemia (\> 180 mg/dL) from baseline to 3 months study period, baseline and 3 months|Age 2-13 Years Old Subjects Mean Change in % of Time in Hypoglycemia (<70 mg/dL), mean change in % of time in hypoglycemia (\< 70 mg/dL) from baseline to 3 months study period, baseline and 3 months|Age 2-13 Years Old - Number of Severe Hypoglycemic Event, Number of severe hypoglycemic events occurred during 3-month study period., 3 months|Age 2-13 Years Old - Number of Diabetic Ketoacidosis (DKA) Event, Number of Diabetic Ketoacidosis (DKA) events occurred during 3-month study period., 3 months|Age 7-13 Years Old Subjects PLGM Performance - Event Rate Without Hypoglycemia at YSI-FST <=65 mg/dL, Event rate without Hypoglycemia at YSI-FST \<=65 mg/dL among 105 subjects who underwent the PLGM experiments. The event rate without hypoglycemia is the number of experiments without hypoglycemia/total number of experiments and hypoglycemic events are defined based on the occurrence of 2 or more continuous YSI-FST \<= 65mg/dL during in-clinic procedures., Up to 12 hours after the start of PLGM period"",";;;;;;;;;;;;
"NCT01183104,""Change From Baseline in HbA1c at 52 W, Baseline and 52 W|Number of Participants With Hypoglycaemia, From baseline to 52 W"",""The Number of Participants Achieving HbA1c < 6.9 %, 52 W|Change From Baseline in HOMA-β at 52 W, β cell function is measured by the Homeostatic Model Assessment(HOMA-β). HOMA β = \[20 x fasting insulin (μU/mL)\] / \[fasting plasma glucose (mmol/L) - 3.5\], Baseline and 52 W|Change From Baseline in Insulin/Proinsulin Ratio at 52 W, Baseline and 52 W|Change From Baseline in Body Weight at 52 W, Baseline and 52 W"",";;;;;;;;;;;;
"NCT00529204,""Reduction in Serum ALT From Baseline to 24 Weeks of Exenatide Therapy, 24 weeks"",""Changes in Components of Liver Histology at Baseline and Week 24 Including Steatosis, Inflammation and Fibrosis, Steatosis was grades on a scale of 0 (\< 5%)"; 1 (5%- 33%); 2 (\> 33% - 66%); and 3 (\> 66%).;;;;;;;;;
;;;;;;;;;;;;
Inflammation was graded on a scale of 0 (No foci); 1 (\< 2 foci per 200 X field); 2 (2-4 foci per 200 X field); and 3 (\>4 foci per 200 X field) Fibrosis was graded on a scale of 0 (None); 1 (Mild periportal or perisinusoidal); 2 (Moderate periportal or perisinusoidal); 3 (Bridging fibrosis);" and 4 (cirrhosis), 24 weeks|Safety of Exenatide in Patients With NAFLD and Type 2 Diabetes, 24 weeks"",";;;;;
